"","Participant","Arc","Mass","Spin","Judgment","Occurrence","Trial"
"1",1,"Full",50,"7k",110,1,1
"2",1,"Full",0,"-7k",60,1,2
"3",1,"Full",50,"0",120,1,3
"4",1,"Full",0,"0",50,1,4
"5",1,"Full",100,"7k",150,1,5
"6",1,"Full",100,"-7k",110,1,6
"7",1,"Full",0,"0",60,2,7
"8",1,"Full",50,"7k",160,2,8
"9",1,"Full",0,"-7k",30,2,9
"10",1,"Full",100,"-7k",130,2,10
"11",1,"Full",100,"0",170,1,11
"12",1,"Full",100,"-7k",185,3,12
"13",1,"Full",50,"-7k",100,1,13
"14",1,"Full",0,"-7k",30,3,14
"15",1,"Full",50,"-7k",80,2,15
"16",1,"Full",100,"0",105,2,16
"17",1,"Full",50,"7k",115,3,17
"18",1,"Full",0,"7k",60,1,18
"19",1,"Full",0,"7k",70,2,19
"20",1,"Full",100,"7k",130,2,20
"21",1,"Full",0,"0",30,3,22
"22",1,"Full",50,"0",100,2,23
"23",1,"Full",100,"0",130,3,24
"24",1,"Full",100,"7k",150,3,26
"25",1,"Full",50,"-7k",70,3,30
"26",1,"Full",0,"7k",35,3,31
"27",1,"Full",50,"0",120,3,35
"28",1,"Half",0,"7k",30,1,46
"29",1,"Half",50,"7k",80,1,47
"30",1,"Half",50,"-7k",110,1,48
"31",1,"Half",50,"-7k",70,2,49
"32",1,"Half",50,"-7k",80,3,50
"33",1,"Half",50,"0",100,1,51
"34",1,"Half",0,"7k",30,2,52
"35",1,"Half",100,"0",150,1,53
"36",1,"Half",0,"0",50,1,54
"37",1,"Half",100,"7k",160,1,55
"38",1,"Half",100,"7k",140,2,56
"39",1,"Half",0,"0",30,2,57
"40",1,"Half",100,"-7k",140,1,59
"41",1,"Half",100,"7k",180,3,60
"42",1,"Half",100,"-7k",200,2,61
"43",1,"Half",0,"-7k",50,1,62
"44",1,"Half",100,"0",140,2,63
"45",1,"Half",0,"0",60,3,65
"46",1,"Half",50,"7k",120,2,67
"47",1,"Half",100,"0",130,3,68
"48",1,"Half",50,"7k",90,3,69
"49",1,"Half",50,"0",100,2,70
"50",1,"Half",0,"-7k",20,2,72
"51",1,"Half",50,"0",100,3,74
"52",1,"Half",100,"-7k",150,3,76
"53",1,"Half",0,"7k",30,3,79
"54",1,"Half",0,"-7k",40,3,85
"55",10,"Half",0,"0",75,1,1
"56",10,"Half",100,"7k",60,1,2
"57",10,"Half",100,"0",105,1,3
"58",10,"Half",100,"-7k",70,1,4
"59",10,"Half",0,"7k",50,1,5
"60",10,"Half",50,"7k",100,1,6
"61",10,"Half",100,"-7k",150,2,7
"62",10,"Half",100,"0",175,2,8
"63",10,"Half",0,"7k",60,2,9
"64",10,"Half",50,"0",70,1,10
"65",10,"Half",100,"7k",150,2,11
"66",10,"Half",0,"0",75,2,12
"67",10,"Half",0,"-7k",60,1,13
"68",10,"Half",50,"0",80,2,14
"69",10,"Half",0,"-7k",50,2,15
"70",10,"Half",0,"0",50,3,16
"71",10,"Half",50,"0",150,3,17
"72",10,"Half",50,"7k",100,2,18
"73",10,"Half",50,"7k",90,3,19
"74",10,"Half",0,"7k",50,3,20
"75",10,"Half",50,"-7k",100,1,21
"76",10,"Half",50,"-7k",100,2,22
"77",10,"Half",100,"0",110,3,23
"78",10,"Half",0,"-7k",45,3,24
"79",10,"Half",100,"7k",130,3,25
"80",10,"Half",100,"-7k",140,3,26
"81",10,"Half",50,"-7k",60,3,27
"82",10,"Full",50,"0",100,1,28
"83",10,"Full",50,"7k",60,1,29
"84",10,"Full",0,"-7k",30,1,30
"85",10,"Full",0,"0",40,1,31
"86",10,"Full",100,"7k",120,1,32
"87",10,"Full",100,"-7k",100,1,33
"88",10,"Full",0,"0",40,2,34
"89",10,"Full",0,"0",60,3,35
"90",10,"Full",100,"0",120,1,36
"91",10,"Full",0,"7k",50,1,37
"92",10,"Full",0,"-7k",20,2,38
"93",10,"Full",100,"7k",140,2,39
"94",10,"Full",0,"7k",20,2,40
"95",10,"Full",100,"0",150,2,41
"96",10,"Full",0,"-7k",20,3,42
"97",10,"Full",50,"-7k",100,1,43
"98",10,"Full",100,"0",130,3,44
"99",10,"Full",100,"7k",150,3,45
"100",10,"Full",100,"-7k",130,2,46
"101",10,"Full",50,"7k",100,2,47
"102",10,"Full",50,"-7k",70,2,48
"103",10,"Full",50,"0",100,2,49
"104",10,"Full",50,"-7k",100,3,50
"105",10,"Full",0,"7k",50,3,51
"106",10,"Full",50,"0",80,3,52
"107",10,"Full",100,"-7k",110,3,53
"108",10,"Full",50,"7k",100,3,54
"109",11,"Full",50,"7k",130,1,1
"110",11,"Full",100,"0",100,1,2
"111",11,"Full",0,"7k",75,1,3
"112",11,"Full",50,"0",90,1,4
"113",11,"Full",100,"7k",170,1,5
"114",11,"Full",50,"-7k",120,1,6
"115",11,"Full",100,"-7k",150,1,7
"116",11,"Full",50,"-7k",70,2,8
"117",11,"Full",50,"7k",100,2,9
"118",11,"Full",0,"0",50,1,10
"119",11,"Full",0,"7k",110,2,11
"120",11,"Full",50,"7k",130,3,12
"121",11,"Full",0,"7k",75,3,13
"122",11,"Full",50,"0",75,2,14
"123",11,"Full",100,"-7k",120,2,15
"124",11,"Full",100,"7k",150,2,16
"125",11,"Full",100,"0",175,2,17
"126",11,"Full",50,"0",90,3,18
"127",11,"Full",50,"-7k",120,3,19
"128",11,"Full",0,"-7k",120,1,20
"129",11,"Full",0,"0",100,2,21
"130",11,"Full",100,"0",200,3,22
"131",11,"Full",0,"-7k",70,2,23
"132",11,"Full",100,"-7k",130,3,24
"133",11,"Full",0,"-7k",75,3,25
"134",11,"Full",100,"7k",100,3,26
"135",11,"Full",0,"0",70,3,27
"136",11,"Half",0,"0",80,1,28
"137",11,"Half",0,"-7k",115,1,29
"138",11,"Half",50,"0",115,1,30
"139",11,"Half",100,"7k",150,1,31
"140",11,"Half",100,"7k",160,2,32
"141",11,"Half",0,"-7k",70,2,33
