"","Time","Force 1","Force 2","Angle","Velocity","Acceleration","Force1","Force2","Ratio","Torque","Length","Spin","Mass","V_bin"
"1","0","11.8311965812","-10.7316985008","0",-0.872664625997,"-1.85037170771E-15",11.8311965812,-10.7316985008,-1.10245331438617,1.452728532156,"60cm","off","0g",-0.9
"2","0.02","11.9209401709","-10.7316985008","-0.0174532925199",-0.872664625997,"-2.31296463464E-15",11.9209401709,-10.7316985008,-1.11081579211449,1.466190070611,"60cm","off","0g",-0.9
"3","0.04","12.0405982906","-10.7621861832","-0.0349065850399",-0.872664625997,"-0.0404011400925",12.0405982906,-10.7621861832,-1.11878739929213,1.483224158094,"60cm","off","0g",-0.9
"4","0.06","12.0705128205","-10.7926738655","-0.0523598775598",-0.872664625997,"-0.235673317206",12.0705128205,-10.7926738655,-1.11839873704372,1.48679670711,"60cm","off","0g",-0.9
"5","0.08","12.0705128205","-10.7926738655","-0.0698131700798",-0.872664625997,"-1.14469896929",12.0705128205,-10.7926738655,-1.11839873704372,1.48679670711,"60cm","off","0g",-0.9
"6","0.1","12.1602564103","-10.8536492302","-0.0872664625997",-0.896905310053,"-2.96275027345",12.1602564103,-10.8536492302,-1.12038413554626,1.498428984639,"60cm","off","0g",-0.9
"7","0.12","12.3696581197","-11.0365753244","-0.10471975512",-0.969627362219,"-5.0838101283",12.3696581197,-11.0365753244,-1.12078772228852,1.524351458223,"60cm","off","0g",-1
"8","0.14","12.5790598291","-11.2804767832","-0.12217304764",-1.18779351872,"-3.06375312368",12.5790598291,-11.2804767832,-1.11511774465366,1.548444670869,"60cm","off","0g",-1.2
"9","0.16","12.7585470085","-11.432915195","-0.157079632679",-1.18779351872,"3.03008550693",12.7585470085,-11.432915195,-1.11594871394478,1.570794595425,"60cm","off","0g",-1.2
"10","0.18","12.7286324786","-11.4024275126","-0.174532925199",-0.969627362219,"4.8481368111",12.7286324786,-11.4024275126,-1.11630900214314,1.567222046412,"60cm","off","0g",-1
"11","0.2","12.5491452991","-11.2195014185","-0.191986217719",-0.896905310053,"1.81805130416",12.5491452991,-11.2195014185,-1.11851185101751,1.54578675231,"60cm","off","0g",-0.9
"12","0.22","12.2799145299","-11.006087642","-0.209439510239",-0.896905310053,"-1.81805130416",12.2799145299,-11.006087642,-1.11573839218207,1.511804550225,"60cm","off","0g",-0.9
"13","0.24","12.1004273504","-10.8231615479","-0.226892802759",-0.969627362219,"-4.8481368111",12.1004273504,-10.8231615479,-1.11801226442451,1.490369256123,"60cm","off","0g",-1
"14","0.26","12.0106837607","-10.7621861832","-0.244346095279",-1.18779351872,"-3.06375312368",12.0106837607,-10.7621861832,-1.11600780327039,1.478736978609,"60cm","off","0g",-1.2
"15","0.28","12.0705128205","-10.8231615479","-0.279252680319",-1.18779351872,"2.82807980647",12.0705128205,-10.8231615479,-1.11524832804903,1.485882076638,"60cm","off","0g",-1.2
"16","0.3","12.0705128205","-10.8231615479","-0.296705972839",-0.969627362219,"3.93911115901",12.0705128205,-10.8231615479,-1.11524832804903,1.485882076638,"60cm","off","0g",-1
